"URL","Price","Date","Make","Model","Year","Mileage_in_KM","Transmission","City","Color","Fuel_Type","Class","Body_Style","Cylinder_Count","Engine_Capacity"
"https://www.contactcars.com/en/used-cars/hyundai-elantra_hd/27ed43c8cd3d","800000","10/27/2025","Hyundai","Elantra HD","2022","30000","Automatic","Giza","Black","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/ford-focus/6f93ca92d92a","750000","10/27/2025","Ford","Focus","2018","120000","Automatic","Cairo","Brown","Gas","null","Sedan","","1000CC"
"https://www.contactcars.com/en/used-cars/byd-song_plus/b3593cdd903a","2100000","10/27/2025","BYD","Song Plus","2025","2000","Automatic","Mansoura","Gray","Hybrid","null","SUV","4","1500CC"
"https://www.contactcars.com/en/used-cars/ford-kuga/8b54485e77b6","900000","10/27/2025","Ford","Kuga","2018","145000","Automatic","Giza","Gray","Gas","null","SUV","3","1500CC"
"https://www.contactcars.com/en/used-cars/kia-sportage/a0566dddd9f5","1300000","10/27/2025","Kia","Sportage","2021","170000","Automatic","Giza","Black","Gas","null","SUV","4","1600CC"
"https://www.contactcars.com/en/used-cars/renault-logan/5171c53ab423","450000","10/27/2025","Renault","Logan","2016","109000","Automatic","Cairo","Silver","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/jeep-wrangler/c1167769b7e7","1600000","10/27/2025","Jeep","Wrangler","2017","150000","Automatic","Giza","White","Gas","null","Other","6","3600CC"
"https://www.contactcars.com/en/used-cars/kia-carnival/16dfafe779ec","3250000","10/27/2025","Kia","Carnival","2024","4000","Automatic","Cairo","White","Hybrid","null","SUV","4","1600CC"
"https://www.contactcars.com/en/used-cars/seat-ibiza/48cf3437c55f","185000","10/26/2025","Seat","Ibiza","1994","100000","Manual","Cairo","Gray","Gas","null","Hatchback","","1300CC"
"https://www.contactcars.com/en/used-cars/hyundai-elantra_cn7/7d79ec79efb4","1300000","10/26/2025","Hyundai","Elantra CN7","2024","7000","Automatic","Damietta","Gray","Gas","null","Sedan","4","1600CC"
